,City,tweet_created_at,hashtags,text,screen_name,user_id,user_created_at,user_friends_count,user_statuses_count,tweet_id,compound,neg,pos,neu
5370,Santa Barbara,Tue Dec 19 23:33:39 +0000 2017,"[{'text': 'ThomasFire', 'indices': [106, 117]}]","RT @nbcsandiego: Dozens of frustrated evacuees have been away from home for days and weeks because of the #ThomasFire, living out of hotels…",Dean90066,913105030567170048,Wed Sep 27 18:16:18 +0000 2017,212,2197,943263087137669121,-0.5267,0.134,0.0,0.866
5371,Santa Barbara,Tue Dec 19 23:33:38 +0000 2017,[],RT @IngrahamAngle: Many firefighters say they’ve never encountered a situation like this in their careers. Many are on three-week shifts...…,simplify77,211533486,Wed Nov 03 14:42:12 +0000 2010,59,97027,943263080770953216,-0.2755,0.105,0.0,0.895
5372,Santa Barbara,Tue Dec 19 23:33:37 +0000 2017,[],Thomas Fire still going...  A NASA pic from 12-15-17 (with strange wave formations in smoke/clouds) https://t.co/JhJR00Z7QO,OnestaOrganics,21711014,Tue Feb 24 00:12:56 +0000 2009,171,1742,943263079659225088,-0.4939,0.244,0.0,0.756
5373,Santa Barbara,Tue Dec 19 23:33:22 +0000 2017,"[{'text': 'D19', 'indices': [73, 77]}]","""Monster"" Thomas fire in Southern California now 50 percent contained... #D19 https://t.co/cVZ95yaLP6 https://t.co/6piuTIHmZz",Info24US,2690281202,Tue Jul 29 14:44:10 +0000 2014,18,1399250,943263017118109696,-0.34,0.167,0.0,0.833
5374,Santa Barbara,Tue Dec 19 23:32:55 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",KEYTNC3Stacy,4561233258,Tue Dec 15 01:04:43 +0000 2015,32,3436,943262900466073600,-0.4215,0.148,0.074,0.779
5375,Santa Barbara,Tue Dec 19 23:32:34 +0000 2017,"[{'text': 'ThomasFire', 'indices': [106, 117]}]","RT @nbcsandiego: Dozens of frustrated evacuees have been away from home for days and weeks because of the #ThomasFire, living out of hotels…",iveyjanette_207,325862777,Wed Jun 29 00:24:06 +0000 2011,1992,387017,943262813765632000,-0.5267,0.134,0.0,0.866
5376,Santa Barbara,Tue Dec 19 23:32:09 +0000 2017,[],RT @latimes: Gusty winds expected to return this week as Thomas fire continues to grow https://t.co/iHIXv6Up3B https://t.co/fjzYQgm15S,swargcoming,2786494571,Sat Sep 27 00:41:24 +0000 2014,332,215622,943262707175735296,-0.34,0.13,0.0,0.87
5377,Santa Barbara,Tue Dec 19 23:32:05 +0000 2017,[],Thomas Fire (Wildfire) https://t.co/kzV8a5bRpi,Fireground,18531849,Thu Jan 01 17:52:24 +0000 2009,2018,28029,943262693531705344,-0.34,0.444,0.0,0.556
5378,Santa Barbara,Tue Dec 19 23:31:32 +0000 2017,"[{'text': 'ThomasFire', 'indices': [106, 117]}]","RT @nbcsandiego: Dozens of frustrated evacuees have been away from home for days and weeks because of the #ThomasFire, living out of hotels…",WingWifeUSMC,111039171,Wed Feb 03 16:14:24 +0000 2010,1211,2658,943262555782373377,-0.5267,0.134,0.0,0.866
5379,Santa Barbara,Tue Dec 19 23:30:42 +0000 2017,"[{'text': 'ThomasFire', 'indices': [106, 117]}]","RT @nbcsandiego: Dozens of frustrated evacuees have been away from home for days and weeks because of the #ThomasFire, living out of hotels…",WilliaBriggsDDS,141120724,Fri May 07 06:56:39 +0000 2010,887,29520,943262342476738560,-0.5267,0.134,0.0,0.866
5380,Santa Barbara,Tue Dec 19 23:30:31 +0000 2017,"[{'text': 'ThomasFire', 'indices': [89, 100]}]","Dozens of frustrated evacuees have been away from home for days and weeks because of the #ThomasFire, living out of… https://t.co/A5SfveijMl",nbcsandiego,15535860,Tue Jul 22 19:34:30 +0000 2008,4370,138028,943262299250405376,-0.5267,0.145,0.0,0.855
5381,Santa Barbara,Tue Dec 19 23:30:22 +0000 2017,[],RT @Mkapub: RE: the Thomas Fire; will it be the biggest in St. history?  https://t.co/sOyg2mwe8q https://t.co/EfUg2n3kSA,CaliforniaGram,22107144,Fri Feb 27 04:30:48 +0000 2009,231,75392,943262260297977856,-0.34,0.138,0.0,0.862
5382,Santa Barbara,Tue Dec 19 23:29:58 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",gramsci1937,735228714070507520,Tue May 24 21:59:20 +0000 2016,3099,43956,943262159353663488,-0.7739,0.252,0.0,0.748
5383,Santa Barbara,Tue Dec 19 23:29:24 +0000 2017,"[{'text': 'ThomasFire', 'indices': [17, 28]}]","RT @EliasonMike: #ThomasFire- With the latest Star Wars movie playing, The Arlington Theatre’s marquee in Santa Barbara has an extra specia…",elvira2227,780909938,Sat Aug 25 19:15:18 +0000 2012,120,6157,943262015241330688,-0.4215,0.148,0.074,0.779
5384,Santa Barbara,Tue Dec 19 23:28:56 +0000 2017,[],Maastricht Weather - Firefighters got a temporary reprieve from the winds that have turned the Thomas fire into… https://t.co/mNaA3T6Gm4,wxmaastricht,99058918,Thu Dec 24 07:52:34 +0000 2009,1,42487,943261897780092928,-0.34,0.13,0.0,0.87
5385,Santa Barbara,Tue Dec 19 23:28:49 +0000 2017,[],"RT @foodandwater: OUTRAGEOUS: While over 100,000 ppl are being evacuated from California amid fires, workers are being forced to stay to pi…",saku_zuckerberg,4808418847,Sun Jan 24 16:36:34 +0000 2016,1106,2517,943261870118420481,-0.7739,0.252,0.0,0.748
5386,Santa Barbara,Tue Dec 19 23:27:52 +0000 2017,[],So everybody who wanted to help the Firefighters fighting the Thomas Fire got told no thanks.  Save for Rob Lowe.,NolaDebina,28535518,Fri Apr 03 10:04:19 +0000 2009,831,6424,943261630133088256,-0.1027,0.324,0.312,0.364
