,State,ZIP_Code,Population,Male,Female,Median Age,Race,Poverty Count,Poverty Rate,Household Income,Per Capita Income,Unemployment Count,Unemployment Rate,Total housing units,Median year structure built,Median Value ($) for Housing Units,White alone race,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Lat,Lng,City,county
59,California,90064,27032.0,12942.0,14090.0,38.3,27032.0,2263.0,8.371559633027523,92626.0,59338.0,587.0,2.171500443918319,11553.0,1954.0,974000.0,19412.0,1024.0,89.0,4796.0,632.0,34.0386656,-118.4221519,Los Angeles,Los Angeles County
60,California,90065,46965.0,23756.0,23209.0,37.0,46965.0,9086.0,19.34632172894709,54796.0,27209.0,2228.0,4.743958266794421,15841.0,1952.0,563200.0,24877.0,919.0,469.0,7485.0,11584.0,34.10885,-118.2234229,Northeast Los Angeles,Los Angeles
61,California,90066,59258.0,29855.0,29403.0,37.5,59258.0,6448.0,10.881231226163555,72004.0,42388.0,2529.0,4.267778190286544,25693.0,1962.0,834900.0,36546.0,2054.0,1667.0,8521.0,6405.0,34.0050173,-118.4338345,Los Angeles,Los Angeles County
62,California,90067,2355.0,1207.0,1148.0,65.8,2355.0,176.0,7.473460721868365,120208.0,152254.0,43.0,1.8259023354564756,1951.0,1979.0,1077900.0,1831.0,6.0,0.0,453.0,0.0,34.0571327,-118.4148498,Los Angeles,Los Angeles County
63,California,90068,21450.0,11701.0,9749.0,39.7,21450.0,2490.0,11.608391608391608,76485.0,75182.0,1562.0,7.282051282051282,13948.0,1958.0,1053900.0,16962.0,700.0,85.0,1569.0,745.0,34.1235157,-118.3286614,Los Angeles,Los Angeles County
64,California,90069,20435.0,12613.0,7822.0,41.6,20435.0,2067.0,10.11499877660876,82237.0,79600.0,1083.0,5.299730853927086,13867.0,1965.0,738100.0,15793.0,1020.0,62.0,1302.0,992.0,34.0931603,-118.3783347,Central LA,West Hollywood
65,California,90071,0.0,0.0,0.0,-666666666.0,0.0,0.0,,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,34.052996,-118.2548551,Downtown,Los Angeles
66,California,90073,915.0,839.0,76.0,54.3,915.0,439.0,47.978142076502735,-666666666.0,11281.0,40.0,4.371584699453552,0.0,-666666666.0,-666666666.0,457.0,332.0,4.0,57.0,35.0,34.0522561,-118.452087,Los Angeles,Los Angeles County
67,California,90077,8912.0,4324.0,4588.0,47.9,8912.0,311.0,3.4896768402154397,178194.0,100874.0,203.0,2.277827648114901,3883.0,1969.0,1657700.0,7403.0,213.0,0.0,863.0,81.0,34.1014861,-118.4571974,Los Angeles,Los Angeles County
68,California,90079,0.0,0.0,0.0,-666666666.0,0.0,0.0,,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,34.0405313,-118.2554032,Central LA,Los Angeles
69,California,90089,3680.0,1729.0,1951.0,19.1,3680.0,13.0,0.3532608695652174,-666666666.0,7110.0,309.0,8.396739130434783,15.0,1946.0,-666666666.0,1766.0,200.0,5.0,1252.0,227.0,34.0220127,-118.2892046,Los Angeles,Los Angeles County
